iterations,train_loss,test_loss,Accuracy,F1Score_macro,Recall_macro,Precision_macro,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,config/data_dir,config/dataset_name,config/target_count,config/batch_size,config/input_channels,config/output,config/dropout,config/num_conv_layers,config/base_channels,config/kernel_size,config/use_skip,config/use_attention,config/fc1_size,config/fc2_size,config/fc3_size,config/lr,config/weight_decay,logdir
14,0.2723172605037689,0.6402321103633496,0.7452485380116959,0.6185356086526508,0.8699355376318538,0.6263227497628727,1750943625,,False,15,4a29e582,2025-06-26_13-13-45,61.88068628311157,744.0486116409302,34965,ML-RefVm-423156,10.0.0.10,744.0486116409302,15,/home/azureuser/MADS-exam-25/data,heart_big,5000,32,1,5,0.1643361837766992,5,32,3,0,0,256,256,96,0.0010798386221418318,0.0001,4a29e582
14,0.27115339040756226,0.3075747404857511,0.9115953947368421,0.6983336050181154,0.9004682479906876,0.7126401857033118,1750943134,,False,15,8eb4e368,2025-06-26_13-05-34,16.144788026809692,247.11848616600037,35036,ML-RefVm-423156,10.0.0.10,247.11848616600037,15,/home/azureuser/MADS-exam-25/data,heart_big,5000,32,1,5,0.193515218242374,4,16,7,0,0,512,128,64,0.0016325500167961497,0.0001,8eb4e368
14,0.30491793155670166,0.20987954513545623,0.9407894736842105,0.7538830553555793,0.8946834851541278,0.7888637316512599,1750943637,,False,15,6fb9836f,2025-06-26_13-13-57,57.57422375679016,745.4792668819427,35100,ML-RefVm-423156,10.0.0.10,745.4792668819427,15,/home/azureuser/MADS-exam-25/data,heart_big,5000,32,1,5,0.21144525979941245,4,32,7,0,1,512,256,96,0.0019536277425746774,0.0001,6fb9836f
14,0.2889880836009979,0.5141830528536212,0.8159265350877193,0.5896706927073893,0.8814413177466632,0.5732179371953655,1750944836,,False,15,15c011a4,2025-06-26_13-33-56,142.6764693260193,1694.3664803504944,35593,ML-RefVm-423156,10.0.0.10,1694.3664803504944,15,/home/azureuser/MADS-exam-25/data,heart_big,5000,32,1,5,0.17681062632321995,4,64,5,1,0,512,256,64,0.0014932006713812684,0.0001,15c011a4
14,0.2795950174331665,0.357137919245669,0.8917671783625731,0.6760436072325956,0.8976994917547396,0.6826422861738378,1750945240,,False,15,521d92f7,2025-06-26_13-40-40,110.04559445381165,1608.9034669399261,37159,ML-RefVm-423156,10.0.0.10,1608.9034669399261,15,/home/azureuser/MADS-exam-25/data,heart_big,5000,32,1,5,0.20348417966776822,4,64,5,0,1,512,128,96,0.0010932626365265513,0.0001,521d92f7
14,0.3185536861419678,0.38877974997399845,0.8711622807017544,0.6832924803189078,0.8979092686178496,0.6812004173450805,1750943920,,False,15,648bdedd,2025-06-26_13-18-40,27.509467124938965,276.3096389770508,37208,ML-RefVm-423156,10.0.0.10,276.3096389770508,15,/home/azureuser/MADS-exam-25/data,heart_big,5000,32,1,5,0.18858303910799057,4,16,5,0,1,512,128,64,0.002076769618644051,0.0001,648bdedd
14,0.3160432279109955,0.4333172221804223,0.8705683479532164,0.6402848311368918,0.8852274280436478,0.6447660664194612,1750944170,,False,15,c246f75e,2025-06-26_13-22-50,13.408983707427979,242.29094433784485,37443,ML-RefVm-423156,10.0.0.10,242.29094433784485,15,/home/azureuser/MADS-exam-25/data,heart_big,5000,32,1,5,0.1776992698489616,4,16,3,0,0,256,128,64,0.0024732454840946786,0.0001,c246f75e
14,0.424374520778656,0.4903784489030378,0.8934119152046783,0.6719083528445252,0.8764298673228663,0.6840025538239985,1750946469,,False,15,076f2078,2025-06-26_14-01-09,200.60605144500732,2292.388813495636,37640,ML-RefVm-423156,10.0.0.10,2292.388813495636,15,/home/azureuser/MADS-exam-25/data,heart_big,5000,32,1,5,0.18951450082116605,5,64,3,0,1,256,256,64,0.0028035651365101223,0.0001,076f2078
14,0.33522218465805054,0.6576479444639725,0.7765899122807017,0.5901689250301428,0.8720783841670926,0.5929134809164028,1750945428,,False,15,a1886f0d,2025-06-26_13-43-48,42.31482672691345,586.4090619087219,38326,ML-RefVm-423156,10.0.0.10,586.4090619087219,15,/home/azureuser/MADS-exam-25/data,heart_big,5000,32,1,5,0.21258096204218546,4,32,5,0,1,256,128,96,0.0028530952929973026,0.0001,a1886f0d
14,0.2910674512386322,0.45018336000411135,0.9142452485380117,0.7217004197292921,0.9030379655289005,0.7291700290157573,1750946473,,False,15,c00159e4,2025-06-26_14-01-13,126.29084587097168,1226.3279037475586,39371,ML-RefVm-423156,10.0.0.10,1226.3279037475586,15,/home/azureuser/MADS-exam-25/data,heart_big,5000,32,1,5,0.2076089243154094,5,32,5,1,0,256,128,96,0.0028776892367819067,0.0001,c00159e4
14,0.2916998267173767,0.5335886602164709,0.834110014619883,0.5988490640929114,0.8818030569840278,0.5927108589832196,1750946008,,False,15,594c0de7,2025-06-26_13-53-28,44.67809247970581,572.3479993343353,39519,ML-RefVm-423156,10.0.0.10,572.3479993343353,15,/home/azureuser/MADS-exam-25/data,heart_big,5000,32,1,5,0.22427010686216936,4,32,3,1,0,512,128,96,0.0027253075338537105,0.0001,594c0de7
14,0.25407975912094116,0.41061996975750253,0.8768731725146199,0.6785337927852378,0.9162619895331553,0.6685565104057596,1750946457,,False,15,8dc4047c,2025-06-26_14-00-57,31.385059595108032,441.41991090774536,39781,ML-RefVm-423156,10.0.0.10,441.41991090774536,15,/home/azureuser/MADS-exam-25/data,heart_big,5000,32,1,5,0.2498046653624248,5,16,5,0,1,256,256,96,0.0016523137989897705,0.0001,8dc4047c
